CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
20358903,2.0,medio,False,False,False,False,False,False,False
20358911,2.0,medio,True,True,True,True,False,True,True
20358919,2.0,medio,False,False,False,False,False,False,False
20358926,2.0,medio,False,False,False,False,False,False,False
20358929,2.0,medio,False,False,False,False,False,False,False
20358930,2.0,medio,False,False,False,False,False,False,False
20358931,2.0,medio,True,True,True,True,False,True,True
20358938,2.0,medio,False,False,False,False,False,False,False
20358947,2.0,medio,True,True,False,False,False,False,False
20358951,2.0,medio,False,False,False,False,False,False,False
20358956,2.0,medio,True,True,True,True,False,True,True
20358960,2.0,medio,True,True,True,True,False,True,True
20358964,2.0,medio,True,True,True,True,False,True,True
20358973,2.0,medio,True,True,True,True,False,True,True
20358974,2.0,medio,True,True,True,True,False,True,True
20358978,2.0,medio,True,True,True,True,False,True,True
20358979,2.0,medio,False,False,False,False,False,False,False
20358985,2.0,medio,False,False,False,False,False,False,False
20358992,2.0,medio,True,True,True,True,False,True,True
20358993,2.0,medio,True,True,True,True,False,True,True
20358995,2.0,medio,False,False,False,False,False,False,False
20358997,2.0,medio,False,False,False,False,False,False,False
20359000,2.0,medio,False,False,False,False,False,False,False
20359001,2.0,medio,False,False,False,False,False,False,False
20359004,2.0,medio,False,False,False,False,False,False,False
20359007,2.0,medio,True,True,True,True,False,True,True
20359009,2.0,medio,False,False,False,False,False,False,False
20359010,2.0,medio,False,False,False,False,False,False,False
20359015,2.0,medio,True,True,True,True,False,True,True
20359017,2.0,medio,False,False,False,False,False,False,False
20359026,2.0,medio,False,False,False,False,False,False,False
20359028,2.0,medio,True,True,True,True,False,True,True
20359036,2.0,medio,True,True,True,True,False,True,True
20359037,2.0,medio,False,False,False,False,False,False,False
20359038,2.0,medio,False,False,False,False,False,False,False
20359040,2.0,medio,True,True,True,True,False,True,True
20359042,2.0,medio,False,False,False,False,False,False,False
20359044,2.0,medio,False,False,False,False,False,False,False
20359050,2.0,medio,True,True,True,True,False,True,True
20359051,2.0,medio,False,False,False,False,False,False,False
20359062,2.0,medio,True,True,True,True,False,True,True
20359069,2.0,medio,False,False,False,False,False,False,False
20359070,2.0,medio,True,True,True,True,False,True,True
20359073,2.0,medio,False,False,False,False,False,False,False
20359080,2.0,medio,True,True,True,True,False,True,True
20359083,2.0,medio,True,True,True,True,False,True,True
20359093,2.0,medio,True,True,True,True,False,True,True
20359094,2.0,medio,False,False,False,False,False,False,False
20359095,2.0,medio,False,False,False,False,False,False,False
20359096,2.0,medio,False,False,False,False,False,False,False
20359097,2.0,medio,True,True,True,True,False,True,True
20359098,2.0,medio,True,True,True,True,False,True,True
20359103,2.0,medio,True,True,True,True,False,True,True
20359104,2.0,medio,False,False,False,False,False,False,False
20359105,2.0,medio,False,False,False,False,False,False,False
20359109,2.0,medio,True,True,True,True,False,True,True
20359118,2.0,medio,False,False,False,False,False,False,False
20359120,2.0,medio,True,True,True,True,False,True,True
20359131,2.0,medio,False,False,False,False,False,False,False
20359133,2.0,medio,False,False,False,False,False,False,False
20359134,2.0,medio,False,False,False,False,False,False,False
20359135,2.0,medio,True,True,True,True,False,True,True
20359136,2.0,medio,False,False,False,False,False,False,False
