serie,total,concluiu,nao_concluiu,pct_concluiu,pct_nao_concluiu
1.0,659,298,361,45.220030349013655,54.779969650986345
2.0,336,112,224,33.333333333333336,66.66666666666666
3.0,116,95,21,81.89655172413794,18.103448275862064
8.0,796,588,208,73.86934673366834,26.130653266331663
9.0,608,483,125,79.4407894736842,20.559210526315795
